Titre du document dans sa langue originale	Sous-titre	Titre dans une autre langue	Traduction du titre en français	Auteur 1, transcrit littéralement	Auteur 2, transcrit littéralement	Auteur 3, transcrit littéralement	Code pays	Langue 1	Langue 2	Langue 3	Auteur 1 - Lien vers notice autorité BnF	Auteur 1 - Nom	Auteur 1 - Prénom	Auteur 1 - Code fonction	Auteur 1 - Nature	Auteur 2 - Lien vers notice autorité BnF	Auteur 2 - Nom	Auteur 2 - Prénom	Auteur 2 - Code fonction	Auteur 2 - Nature	Auteur 3 - Lien vers notice autorité BnF	Auteur 3 - Nom	Auteur 3 - Prénom	Auteur 3 - Code fonction	Auteur 3 - Nature	Mention d'édition	Lieu de publication	Nom de l'éditeur transcrit	Date de publication	Date sous forme normalisée	Lieu d'impression	Imprimeur	Date d'impression 	Importance matérielle	Nombre de pages	Illustrations	Hauteur (en cm)	Notes bibliographiques	Indexation 1 - Lien vers la notice BnF	Indexation 1 - Suggestion mot-matière	Indexation 1 - Nature	Indexation 2 - Lien vers la notice BnF	Indexation 2 - Suggestion mot-matière	Indexation 2 - Nature	Indexation 3 - Lien vers la notice BnF	Indexation 3 - Suggestion mot-matière	Indexation 3 - Nature	Indexation genre/forme - Lien vers la notice BnF	Code projet 1	Code projet 2	Code projet 3	Exemplaire - Etablissement de provenance	Exemplaire - Nom du fonds	Exemplaire - Cote du document original	Exemplaire - Lien vers la notice du partenaire	Exemplaire - Particularités de l'exemplaire	Exemplaire microformé	Numéro local de la notice
Pour être bon joueur de rugby 				B. Leroux			fr	fre				Leroux	B.	70	personne											1e éd.	Paris	Editions Nilsson		192.	Montrouge	Imprimerie F. Schmidt 		1 vol.	59 p.	ill.		Ouvrage issu de la Nouvelle collection sportive	11932713		sujet	11937802		sujet	13162711		sujet		MnS000			Musée national du sport		182100_10				SP0001
Le Jiu-Jitsu illustré par la photographie 	les meilleurs coups pour se défendre mis à la portée de tous			Hurotami, de Tokio	P. Gaffet		fr	fre				Hurotami		70	personne		Gaffet	P.	70	personne						1e éd.	Amiens	Roger Léveillard		192.	Le Raincy	Imp. De la Sté Fse de publications périodiques et de publicité 		1 vol.	18 p.	ill.		Ouvrage issu des collections Olympic	11968006		sujet	11930995		sujet	13162711		sujet		MnS000			Musée national du sport		69558				SP0014
Le gardien de but, entraînement spécifique : 317 exercices				René Taelman	Aldo Tonnoir	Lassane Zohore	fr	fre				Taelman	René	70	personne		Tonnoir	Aldo	530	personne		Zohore	Lassane	310			Paris	Ed. Amphota		1995	Condé-sur-Noireau	Impr. Corlet		1 vol.	253 p.	ill.	24 cm		11935548		sujet	11931428		sujet					MnS000			Musée national du sport						SP0017
Le gardien de but, entraînement spécifique : 317 exercices				René Taelman	Aldo Tonnoir	Lassane Zohore	fr	fre				Taelman	René	70	personne		Tonnoir	Aldo	530	personne		Zohore	Lassane	310			Paris	Ed. Amphota		2002	Condé-sur-Noireau	Impr. Corlet		1 vol.	253 p.	ill.	24 cm		11935548		sujet	11931428		sujet					MnS000			Musée national du sport						SP0018
