Latin Extended-A
0x0150	336	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	Ő
0x0151	337	LATIN SMALL LETTER O WITH DOUBLE ACUTE	ő
0x0152	338	LATIN CAPITAL LIGATURE OE	Œ
0x0153	339	LATIN SMALL LIGATURE OE	œ
0x0154	340	LATIN CAPITAL LETTER R WITH ACUTE	Ŕ
0x0155	341	LATIN SMALL LETTER R WITH ACUTE	ŕ
0x0156	342	LATIN CAPITAL LETTER R WITH CEDILLA	Ŗ
0x0157	343	LATIN SMALL LETTER R WITH CEDILLA	ŗ
0x0158	344	LATIN CAPITAL LETTER R WITH CARON	Ř
0x0159	345	LATIN SMALL LETTER R WITH CARON	ř
0x015A	346	LATIN CAPITAL LETTER S WITH ACUTE	Ś
0x015B	347	LATIN SMALL LETTER S WITH ACUTE	ś
0x015C	348	LATIN CAPITAL LETTER S WITH CIRCUMFLEX	Ŝ
0x015D	349	LATIN SMALL LETTER S WITH CIRCUMFLEX	ŝ
0x015E	350	LATIN CAPITAL LETTER S WITH CEDILLA	Ş
0x015F	351	LATIN SMALL LETTER S WITH CEDILLA	ş
0x0160	352	LATIN CAPITAL LETTER S WITH CARON	Š
0x0161	353	LATIN SMALL LETTER S WITH CARON	š
0x0162	354	LATIN CAPITAL LETTER T WITH CEDILLA	Ţ
0x0163	355	LATIN SMALL LETTER T WITH CEDILLA	ţ
0x0164	356	LATIN CAPITAL LETTER T WITH CARON	Ť
0x0165	357	LATIN SMALL LETTER T WITH CARON	ť
0x0166	358	LATIN CAPITAL LETTER T WITH STROKE	Ŧ
0x0167	359	LATIN SMALL LETTER T WITH STROKE	ŧ
0x0168	360	LATIN CAPITAL LETTER U WITH TILDE	Ũ
0x0169	361	LATIN SMALL LETTER U WITH TILDE	ũ
0x016A	362	LATIN CAPITAL LETTER U WITH MACRON	Ū
0x016B	363	LATIN SMALL LETTER U WITH MACRON	ū
0x016C	364	LATIN CAPITAL LETTER U WITH BREVE	Ŭ
0x016D	365	LATIN SMALL LETTER U WITH BREVE	ŭ
0x016E	366	LATIN CAPITAL LETTER U WITH RING ABOVE	Ů
0x016F	367	LATIN SMALL LETTER U WITH RING ABOVE	ů
0x0170	368	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE	Ű
0x0171	369	LATIN SMALL LETTER U WITH DOUBLE ACUTE	ű
0x0172	370	LATIN CAPITAL LETTER U WITH OGONEK	Ų
0x0173	371	LATIN SMALL LETTER U WITH OGONEK	ų
0x0174	372	LATIN CAPITAL LETTER W WITH CIRCUMFLEX	Ŵ
0x0175	373	LATIN SMALL LETTER W WITH CIRCUMFLEX	ŵ
0x0176	374	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX	Ŷ
0x0177	375	LATIN SMALL LETTER Y WITH CIRCUMFLEX	ŷ
0x0178	376	LATIN CAPITAL LETTER Y WITH DIAERESIS	Ÿ
0x0179	377	LATIN CAPITAL LETTER Z WITH ACUTE	Ź
0x017A	378	LATIN SMALL LETTER Z WITH ACUTE	ź
0x017B	379	LATIN CAPITAL LETTER Z WITH DOT ABOVE	Ż
0x017C	380	LATIN SMALL LETTER Z WITH DOT ABOVE	ż
0x017D	381	LATIN CAPITAL LETTER Z WITH CARON	Ž
0x017E	382	LATIN SMALL LETTER Z WITH CARON	ž
0x017F	383	LATIN SMALL LETTER LONG S	ſ
Latin Extended-B
Position	Decimal	Name	Appearance
0x0180	384	LATIN SMALL LETTER B WITH STROKE	ƀ
0x0181	385	LATIN CAPITAL LETTER B WITH HOOK	Ɓ
0x0182	386	LATIN CAPITAL LETTER B WITH TOPBAR	Ƃ
0x0183	387	LATIN SMALL LETTER B WITH TOPBAR	ƃ
0x0184	388	LATIN CAPITAL LETTER TONE SIX	Ƅ
0x0185	389	LATIN SMALL LETTER TONE SIX	ƅ
0x0186	390	LATIN CAPITAL LETTER OPEN O	Ɔ
0x0187	391	LATIN CAPITAL LETTER C WITH HOOK	Ƈ
0x0188	392	LATIN SMALL LETTER C WITH HOOK	ƈ
0x0189	393	LATIN CAPITAL LETTER AFRICAN D	Ɖ
0x018A	394	LATIN CAPITAL LETTER D WITH HOOK	Ɗ
0x018B	395	LATIN CAPITAL LETTER D WITH TOPBAR	Ƌ
0x018C	396	LATIN SMALL LETTER D WITH TOPBAR	ƌ
0x018D	397	LATIN SMALL LETTER TURNED DELTA	ƍ
0x018E	398	LATIN CAPITAL LETTER REVERSED E	Ǝ
0x018F	399	LATIN CAPITAL LETTER SCHWA	Ə
0x0190	400	LATIN CAPITAL LETTER OPEN E	Ɛ
0x0191	401	LATIN CAPITAL LETTER F WITH HOOK	Ƒ
0x0192	402	LATIN SMALL LETTER F WITH HOOK	ƒ
0x0193	403	LATIN CAPITAL LETTER G WITH HOOK	Ɠ
0x0194	404	LATIN CAPITAL LETTER GAMMA	Ɣ
0x0195	405	LATIN SMALL LETTER HV	ƕ
0x0196	406	LATIN CAPITAL LETTER IOTA	Ɩ
0x0197	407	LATIN CAPITAL LETTER I WITH STROKE	Ɨ
0x0198	408	LATIN CAPITAL LETTER K WITH HOOK	Ƙ
0x0199	409	LATIN SMALL LETTER K WITH HOOK	ƙ
0x019A	410	LATIN SMALL LETTER L WITH BAR	ƚ
0x019B	411	LATIN SMALL LETTER LAMBDA WITH STROKE	ƛ
0x019C	412	LATIN CAPITAL LETTER TURNED M	Ɯ
0x019D	413	LATIN CAPITAL LETTER N WITH LEFT HOOK	Ɲ
0x019E	414	LATIN SMALL LETTER N WITH LONG RIGHT LEG	ƞ
0x019F	415	LATIN CAPITAL LETTER O WITH MIDDLE TILDE	Ɵ
0x01A0	416	LATIN CAPITAL LETTER O WITH HORN	Ơ
0x01A1	417	LATIN SMALL LETTER O WITH HORN	ơ
0x01A2	418	LATIN CAPITAL LETTER OI	Ƣ
0x01A3	419	LATIN SMALL LETTER OI	ƣ
0x01A4	420	LATIN CAPITAL LETTER P WITH HOOK	Ƥ
0x01A5	421	LATIN SMALL LETTER P WITH HOOK	ƥ
0x01A6	422	LATIN LETTER YR	Ʀ
0x01A7	423	LATIN CAPITAL LETTER TONE TWO	Ƨ
0x01A8	424	LATIN SMALL LETTER TONE TWO	ƨ
0x01A9	425	LATIN CAPITAL LETTER ESH	Ʃ
0x01AA	426	LATIN LETTER REVERSED ESH LOOP	ƪ
0x01AB	427	LATIN SMALL LETTER T WITH PALATAL HOOK	ƫ
0x01AC	428	LATIN CAPITAL LETTER T WITH HOOK	Ƭ
0x01AD	429	LATIN SMALL LETTER T WITH HOOK	ƭ
0x01AE	430	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK	Ʈ
0x01AF	431	LATIN CAPITAL LETTER U WITH HORN	Ư
0x01B0	432	LATIN SMALL LETTER U WITH HORN	ư
0x01B1	433	LATIN CAPITAL LETTER UPSILON	Ʊ
0x01B2	434	LATIN CAPITAL LETTER V WITH HOOK	Ʋ
0x01B3	435	LATIN CAPITAL LETTER Y WITH HOOK	Ƴ
0x01B4	436	LATIN SMALL LETTER Y WITH HOOK	ƴ
0x01B5	437	LATIN CAPITAL LETTER Z WITH STROKE	Ƶ
0x01B6	438	LATIN SMALL LETTER Z WITH STROKE	ƶ
0x01B7	439	LATIN CAPITAL LETTER EZH	Ʒ
0x01B8	440	LATIN CAPITAL LETTER EZH REVERSED	Ƹ
0x01B9	441	LATIN SMALL LETTER EZH REVERSED	ƹ
0x01BA	442	LATIN SMALL LETTER EZH WITH TAIL	ƺ
0x01BB	443	LATIN LETTER TWO WITH STROKE	ƻ
0x01BC	444	LATIN CAPITAL LETTER TONE FIVE	Ƽ
